# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2019-12-19T12:20
# UTM Zone,12N
# Easting (m),756903
# Northing (m),4324357
# Latitude (deg),39.03053
# Longitude (deg),-108.03217
# Slope (deg),0
# Aspect (deg),0
# Air Temp (deg C),NaN
# Total Depth (cm),61
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Sunny, breeze 5-10 mph - west"
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,5-10
# Tree Canopy,No Trees
# Comments:,nan
