# Location,Fraser
# Site,JPL #2
# PitID,COFEJ2
# Date/Local Time,2020-03-04T13:20
# UTM Zone,13N
# Easting (m),424573
# Northing (m),4417710
# Latitude (deg),39.90612
# Longitude (deg),-105.88242
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),103
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,15
# Tree Canopy,No Trees
# Comments:,Grass prevented density sampling from 23-0cm.
