# Location,CB
# Site,O4
# PitID,1
# Date/Local Time,2020-05-13T08:30
# UTM Zone,13N
# Easting (m),328462
# Northing (m),4310440
# Latitude (deg),38.92612
# Longitude (deg),-106.97886
# Slope (deg),7
# Aspect (deg),125
# Air Temp (deg C),9
# Total Depth (cm),34
# Surveyors,IH
# Weather,nan
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,20
# Tree Canopy,No Trees
# Comments:,nan
