# Location,CB
# Site,F12
# PitID,2
# Date/Local Time,2020-02-26T12:41
# UTM Zone,13N
# Easting,328529
# Northing,4310830
# Latitude,38.92965
# Longitude,-106.97818
# Depth (cm),Temperature (deg C)
93.0,-4.5
90.0,-7.1
80.0,-8.3
70.0,-7.0
60.0,-4.8
50.0,-3.6
40.0,-2.8
30.0,-2.2
20.0,-1.7
10.0,-1.5
0.0,-1.2
