# Location,Senator Beck
# Site,Senator Beck
# PitID,COSBSB
# Date/Local Time,2020-02-19T12:40
# UTM Zone,13N
# Easting (m),260318
# Northing (m),4199007
# Latitude (deg),37.90705
# Longitude (deg),-107.72625
# Slope (deg),3
# Aspect (deg),320
# Air Temp (deg C),-7.5
# Total Depth (cm),117
# Surveyors,"A. Gleason, M. Cecil"
# WISe Serial No,nan
# Weather,"West winds 10-20mph, gusts to 25mph, precip=very light snow; sastrugi has filled in with recent snowfall"
# Precip,Very Light
# Sky,Broken (> 1/2 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,"Bare,Grass"
# Vegetation Depth,15
# Tree Canopy,No Trees
# Comments:,nan
