# Location,Senator Beck
# Site,Senator Beck
# PitID,COSBSB
# Date/Local Time,2020-02-19T12:40
# UTM Zone,13N
# Easting,260318
# Northing,4199007
# Latitude,37.90705
# Longitude,-107.72625
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
117.0,107.0,276.0,283.0,NaN
107.0,97.0,314.0,318.0,NaN
97.0,87.0,334.0,339.0,NaN
87.0,77.0,322.0,301.0,NaN
77.0,67.0,334.0,336.0,NaN
67.0,57.0,417.0,412.0,NaN
57.0,47.0,401.0,407.0,NaN
47.0,37.0,363.0,375.0,NaN
37.0,27.0,396.0,380.0,NaN
27.0,17.0,402.0,416.0,NaN
17.0,7.0,357.0,330.0,NaN
