# Location,Sagehen
# Site,Forest
# PitID,CASHFO
# Date/Local Time,2020-02-26T10:00
# UTM Zone,10N
# Easting (m),737378
# Northing (m),4368076
# Latitude (deg),39.42955
# Longitude (deg),-120.24211
# Slope (deg),10
# Aspect (deg),326
# Air Temp (deg C),6.2
# Total Depth (cm),39
# Surveyors,"A. Greenwald, L. Katz"
# WISe Serial No,WIS010A
# Weather,"clear, sunny, no wind, no clouds"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,nan
