# Location,CB
# Site,Aspen
# PitID,1
# Date/Local Time,2020-02-01T15:24
# UTM Zone,13N
# Easting (m),329134
# Northing (m),4310333
# Latitude (deg),38.92529
# Longitude (deg),-106.97108
# Slope (deg),3
# Aspect (deg),N
# Air Temp (deg C),-0.1
# Total Depth (cm),85
# Surveyors,"ES, MR"
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,Open (20-70%)
# Comments:,nan
