# Location,CB
# Site,Upper
# PitID,1
# Date/Local Time,2020-02-26T13:30
# UTM Zone,13N
# Easting,327525
# Northing,4311259
# Latitude,38.93331
# Longitude,-106.98987
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
105.0,95.0,130.0,118.0,NaN
95.0,85.0,211.0,204.0,NaN
85.0,75.0,233.0,230.0,NaN
75.0,65.0,297.0,304.0,NaN
65.0,55.0,321.0,341.0,NaN
55.0,45.0,299.0,268.0,NaN
45.0,35.0,301.0,321.0,NaN
35.0,25.0,378.0,318.0,348.0
25.0,15.0,339.0,314.0,NaN
15.0,5.0,342.0,NaN,NaN
