# Location,CB
# Site,F12
# PitID,2
# Date/Local Time,2020-04-28T14:15
# UTM Zone,13N
# Easting,328530
# Northing,4310840
# Latitude,38.92974
# Longitude,-106.97817
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
100.0,90.0,378.0,384.0,NaN
90.0,80.0,377.0,354.0,NaN
80.0,70.0,396.0,419.0,NaN
70.0,60.0,380.0,364.0,NaN
60.0,50.0,373.0,359.0,NaN
50.0,40.0,354.0,341.0,NaN
40.0,30.0,384.0,351.0,NaN
30.0,20.0,370.0,354.0,NaN
20.0,10.0,365.0,361.0,NaN
10.0,0.0,349.0,342.0,NaN
