# Location,NW
# Site,FN
# PitID,3
# Date/Local Time,2020-03-11T12:00
# UTM Zone,13N
# Easting (m),452767
# Northing (m),4431587
# Latitude (deg),40.03318
# Longitude (deg),-105.55361
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),0.7
# Total Depth (cm),116
# Surveyors,ES
# Weather,nan
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Deadfall
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,nan
