# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-01-22T12:25
# UTM Zone,12N
# Easting (m),756712
# Northing (m),4324540
# Latitude (deg),39.03224
# Longitude (deg),-108.03431
# Slope (deg),0
# Aspect (deg),0
# Air Temp (deg C),-6.8
# Total Depth (cm),85
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Cloudy, calm, very light snow flakes."
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rugged
# Ground Vegetation,"Shrub,Deadfall"
# Vegetation Depth,"10,20"
# Tree Canopy,Open (20-70%)
# Comments:,Snow depth variable.
