# Location,Mammoth Lakes
# Site,Panorama Dome
# PitID,CAMLPD
# Date/Local Time,2020-02-05T10:00
# UTM Zone,11N
# Easting,323468
# Northing,4165496
# Latitude,37.61964
# Longitude,-119.00028
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
107.0,97.0,380.0,350.0,NaN
97.0,87.0,357.0,358.0,374.0
87.0,77.0,406.0,414.0,NaN
77.0,67.0,413.0,405.0,NaN
67.0,57.0,402.0,402.0,NaN
57.0,47.0,401.0,403.0,NaN
47.0,37.0,426.0,427.0,NaN
37.0,27.0,421.0,413.0,NaN
27.0,17.0,413.0,458.0,405.0
17.0,7.0,418.0,NaN,NaN
