# Location,CB
# Site,F12
# PitID,3
# Date/Local Time,2020-02-26T13:00
# UTM Zone,13N
# Easting (m),328520
# Northing (m),4310833
# Latitude (deg),38.92967
# Longitude (deg),-106.97829
# Slope (deg),0
# Aspect (deg),0
# Air Temp (deg C),-5.9
# Total Depth (cm),92
# Surveyors,HB
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,"Grass,Shrub"
# Vegetation Depth,8
# Tree Canopy,Open (20-70%)
# Comments:,Tare: 750g
