# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-01-24T11:00
# UTM Zone,12N
# Easting (m),446048
# Northing (m),4493579
# Latitude (deg),40.59125
# Longitude (deg),-111.63759
# Slope (deg),0
# Aspect (deg),180
# Air Temp (deg C),-3
# Total Depth (cm),219
# Surveyors,S. Clark
# WISe Serial No,nan
# Weather,"Past 24 hours: warm advection, 30 cm new snow, mostly heavily rimed crystals. Current conditions: light snow, overcast, obscured skies and light wind. Precip=Snow"
# Precip,Light
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,nan
