# Location,Niwot Ridge
# Site,C1
# PitID,CONWC1
# Date/Local Time,2020-03-04T09:03
# UTM Zone,13N
# Easting (m),453402
# Northing (m),4431582
# Latitude (deg),40.03317
# Longitude (deg),-105.54616
# Slope (deg),0
# Aspect (deg),90
# Air Temp (deg C),NaN
# Total Depth (cm),111
# Surveyors,"K. Hale, A. Manning, A. Sadeh"
# WISe Serial No,WIS021A
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,"Shrub,Deadfall"
# Vegetation Depth,"5,5"
# Tree Canopy,Open (20-70%)
# Comments:,The LWC values written down are the permittivity values.
