# Location,Grand Mesa
# Site,Skyway Tree
# PitID,COGMST
# Date/Local Time,2020-02-19T15:00
# UTM Zone,12N
# Easting (m),754171
# Northing (m),4325869
# Latitude (deg),39.04494
# Longitude (deg),-108.06313
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),78
# Surveyors,C. Green
# WISe Serial No,WIS009A
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,"Grass,Deadfall"
# Vegetation Depth,"18,14"
# Tree Canopy,Open (20-70%)
# Comments:,nan
