# Location,Niwot Ridge
# Site,Saddle
# PitID,CONWSA
# Date/Local Time,2020-02-12T10:45
# UTM Zone,13N
# Easting (m),449623
# Northing (m),4434025
# Latitude (deg),40.05497
# Longitude (deg),-105.59065
# Slope (deg),5
# Aspect (deg),0
# Air Temp (deg C),NaN
# Total Depth (cm),50
# Surveyors,"M. Flynn, S. Ciafone"
# WISe Serial No,nan
# Weather,"Clear with clouds on horizon, slight breeze, cold. IB: board blew over due to wind"
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,True
# Tree Canopy,No Trees
# Comments:,Density not collected due to 2 dead scales
