# Location,CB
# Site,Upper
# PitID,3
# Date/Local Time,2020-02-26T14:00
# UTM Zone,13N
# Easting (m),327528
# Northing (m),4311272
# Latitude (deg),38.93343
# Longitude (deg),-106.98983
# Slope (deg),NaN
# Aspect (deg),S
# Air Temp (deg C),-7.3
# Total Depth (cm),118
# Surveyors,AK
# Weather,nan
# Precip,None
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rugged
# Ground Vegetation,Grass
# Vegetation Depth,15
# Tree Canopy,Closed (>70%)
# Comments:,nan
