# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-03-12T16:20
# UTM Zone,12N
# Easting (m),754270
# Northing (m),4325785
# Latitude (deg),39.04415
# Longitude (deg),-108.06202
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),1.2
# Total Depth (cm),103
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Light breeze, sunny, clear sky above me, clouds to the south. IB: compression from SWE tube"
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,15
# Tree Canopy,No Trees
# Comments:,Temp start: 16:22.  Temp stop: 16:30.  Temperature at 98cm: -0.2.
