# Location,Grand Mesa
# Site,County Line Tree
# PitID,COGMCT
# Date/Local Time,2020-01-31T10:16
# UTM Zone,12N
# Easting (m),756712
# Northing (m),4324540
# Latitude (deg),39.03224
# Longitude (deg),-108.03431
# Slope (deg),6
# Aspect (deg),135
# Air Temp (deg C),-7.4
# Total Depth (cm),91
# Surveyors,C. Green
# WISe Serial No,WIS009A
# Weather,"Very thin, high clouds. Clouds arrived just before digging."
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,"Shrub,Deadfall"
# Vegetation Depth,10
# Tree Canopy,Open (20-70%)
# Comments:,End Temps: 1046
