# Location,NW
# Site,FN
# PitID,3
# Date/Local Time,2020-01-22T13:00
# UTM Zone,13N
# Easting (m),452786
# Northing (m),4431582
# Latitude (deg),40.03314
# Longitude (deg),-105.55338
# Slope (deg),NaN
# Aspect (deg),N
# Air Temp (deg C),NaN
# Total Depth (cm),67
# Surveyors,AM
# Weather,nan
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Strong
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Deadfall
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,3109 m elevation
