# Location,CB
# Site,Aspen
# PitID,3
# Date/Local Time,2020-02-01T16:10
# UTM Zone,13N
# Easting (m),329146
# Northing (m),4310332
# Latitude (deg),38.92528
# Longitude (deg),-106.97094
# Slope (deg),3
# Aspect (deg),225
# Air Temp (deg C),-2.3
# Total Depth (cm),71
# Surveyors,"ES, MR"
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,30
# Tree Canopy,No Trees
# Comments:,nan
