# Location,Fraser
# Site,JPL #1
# PitID,COFEJ1
# Date/Local Time,2020-02-12T13:42
# UTM Zone,13N
# Easting,424539
# Northing,4417649
# Latitude,39.90557
# Longitude,-105.88281
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
117.0,107.0,105.0,105.0,NaN
107.0,97.0,157.0,167.0,NaN
97.0,87.0,141.0,146.0,NaN
87.0,77.0,181.0,201.0,NaN
77.0,67.0,221.0,221.0,NaN
67.0,57.0,254.0,247.0,NaN
57.0,47.0,239.0,236.0,NaN
47.0,37.0,256.0,257.0,NaN
37.0,27.0,266.0,258.0,NaN
27.0,17.0,287.0,282.0,NaN
