# Location,CB
# Site,O4
# PitID,2
# Date/Local Time,2020-02-26T13:30
# UTM Zone,13N
# Easting,328427
# Northing,4310480
# Latitude,38.92648
# Longitude,-106.97927
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
121.0,111.0,137.0,140.0,NaN
111.0,101.0,175.0,193.0,NaN
101.0,91.0,228.0,222.0,NaN
91.0,81.0,267.0,260.0,NaN
81.0,71.0,258.0,260.0,NaN
71.0,61.0,286.0,273.0,NaN
61.0,51.0,299.0,298.0,NaN
51.0,41.0,290.0,279.0,NaN
41.0,31.0,289.0,287.0,NaN
31.0,21.0,315.0,302.0,NaN
21.0,11.0,310.0,316.0,NaN
