# Location,Jemez River
# Site,HQ Met Station
# PitID,NMJRHQ
# Date/Local Time,2020-03-04T11:05
# UTM Zone,13N
# Easting,362632
# Northing,3969260
# Latitude,35.85793
# Longitude,-106.52137
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
57.0,47.0,360.3333333333333,2.016,2.018,2.3450916686487084,2.355381915036549
47.0,37.0,322.5,1.476,1.626,0.0,0.6990774461953998
37.0,27.0,338.0,1.369,1.426,0.0,0.0
27.0,17.0,305.6666666666667,1.375,1.325,0.0,0.0
17.0,7.0,365.5,1.511,1.551,0.0,0.0
14.0,4.0,363.0,1.618,1.431,0.26896790453782043,0.0
