# Location,Boise River Basin
# Site,LDP Tree
# PitID,IDBRLT
# Date/Local Time,2020-03-04T11:11
# UTM Zone,11N
# Easting (m),570823
# Northing (m),4842965
# Latitude (deg),43.73634
# Longitude (deg),-116.12052
# Slope (deg),16
# Aspect (deg),140
# Air Temp (deg C),0.2
# Total Depth (cm),52
# Surveyors,"D. Murray, J. Morell"
# WISe Serial No,nan
# Weather,"broken clouds, light winds"
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Light
# Ground Condition,Saturated
# Ground Roughness,Rough
# Ground Vegetation,Deadfall
# Vegetation Depth,4
# Tree Canopy,Closed (>70%)
# Comments:,Used the 250 cc density cutter.  Voids in snow.
