# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-01-22T12:35
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
155.0,145.0,52.0,55.0,NaN
145.0,135.0,130.0,101.0,NaN
135.0,125.0,176.0,166.0,NaN
125.0,115.0,204.0,212.0,NaN
115.0,105.0,232.0,251.0,NaN
105.0,95.0,282.0,265.0,NaN
95.0,85.0,305.0,296.0,NaN
85.0,75.0,308.0,309.0,NaN
75.0,65.0,332.0,310.0,NaN
65.0,55.0,326.0,320.0,NaN
55.0,45.0,355.0,348.0,NaN
45.0,35.0,375.0,368.0,NaN
35.0,25.0,373.0,379.0,NaN
25.0,15.0,370.0,342.0,NaN
15.0,5.0,263.0,292.0,NaN
