# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-01-22T12:35
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
155.0,145.0,53.5,NaN,NaN,NaN,NaN
145.0,135.0,115.5,NaN,NaN,NaN,NaN
135.0,125.0,171.0,NaN,NaN,NaN,NaN
125.0,115.0,208.0,NaN,NaN,NaN,NaN
115.0,105.0,241.5,NaN,NaN,NaN,NaN
105.0,95.0,273.5,NaN,NaN,NaN,NaN
95.0,85.0,300.5,NaN,NaN,NaN,NaN
85.0,75.0,308.5,NaN,NaN,NaN,NaN
75.0,65.0,321.0,NaN,NaN,NaN,NaN
65.0,55.0,323.0,NaN,NaN,NaN,NaN
55.0,45.0,351.5,NaN,NaN,NaN,NaN
45.0,35.0,371.5,NaN,NaN,NaN,NaN
35.0,25.0,376.0,NaN,NaN,NaN,NaN
25.0,15.0,356.0,NaN,NaN,NaN,NaN
15.0,5.0,277.5,NaN,NaN,NaN,NaN
