# Location,Niwot Ridge
# Site,Saddle
# PitID,CONWSA
# Date/Local Time,2020-03-04T10:06
# UTM Zone,13N
# Easting (m),449623
# Northing (m),4434025
# Latitude (deg),40.05497
# Longitude (deg),-105.59065
# Slope (deg),5
# Aspect (deg),0
# Air Temp (deg C),-5
# Total Depth (cm),97
# Surveyors,"M. Flynn, Z. Avjean"
# WISe Serial No,nan
# Weather,"Clear and windy. 25-30 mph with 45 mph gusts. 15-20°F, with windchill -1°F. Sunny."
# Precip,None
# Sky,Clear
# Wind,Strong
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,True
# Tree Canopy,No Trees
# Comments:,Tare wt. = 753g
