# Location,Fraser
# Site,JPL #2
# PitID,COFEJ2
# Date/Local Time,2019-12-10T12:45
# UTM Zone,13N
# Easting,424573
# Northing,4417710
# Latitude,39.90612
# Longitude,-105.88242
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
45.0,27.0,< 1 mm,DF,F,D,NaN
27.0,26.0,1-2 mm,MFCR,1F,D,NaN
26.0,17.0,1-2 mm,FC,F,D,NaN
17.0,6.0,1-2 mm,FC,K,D,VERY DENSE
6.0,0.0,2-4 mm,FC,F,D,NaN
