# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-02-26T07:15
# UTM Zone,12N
# Easting (m),756903
# Northing (m),4324357
# Latitude (deg),39.03053
# Longitude (deg),-108.03217
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-19
# Total Depth (cm),113
# Surveyors,L. Brucker
# WISe Serial No,WIS009A
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,Temperature measurement start/end time: 7:15/7:26. Rocks at bottom.
