# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-02-13T11:30
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
134.0,124.0,143.0,1.159,1.196,0.0,0.020248342735389755
124.0,114.0,154.0,1.212,1.175,0.018080782530295714,0.0
114.0,104.0,199.5,1.317,1.284,0.193210268243155,0.0257654165993914
104.0,94.0,237.0,1.668,1.624,1.6688887348671615,1.4451149876794567
94.0,84.0,248.5,1.627,1.605,1.36371472026062,1.2516711126824758
84.0,74.0,286.5,1.459,1.492,0.17372664370258742,0.3426119249099773
74.0,64.0,321.5,1.542,1.52,0.27712061223603185,0.16412834381573177
64.0,54.0,341.5,1.573,1.578,0.24642028430420343,0.2721512914134856
54.0,44.0,363.0,1.551,1.545,0.0,0.0
44.0,34.0,353.0,1.577,1.571,0.15564214093556078,0.12472524645334576
34.0,24.0,334.5,1.529,1.508,0.08714880148444544,0.0
24.0,14.0,330.0,1.508,1.52,0.02206376869272676,0.08375929722682794
14.0,4.0,323.5,1.504,1.456,0.06309417831304016,0.0
