# Location,Mammoth Lakes
# Site,Panorama Dome
# PitID,CAMLPD
# Date/Local Time,2020-01-24T09:45
# UTM Zone,11N
# Easting,323468
# Northing,4165496
# Latitude,37.61964
# Longitude,-119.00028
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
114.0,104.0,338.0,402.0,391.0
104.0,94.0,375.0,367.0,NaN
94.0,84.0,363.0,396.0,NaN
84.0,74.0,416.0,404.0,NaN
74.0,64.0,423.0,431.0,NaN
64.0,54.0,435.0,425.0,NaN
54.0,44.0,439.0,436.0,NaN
44.0,34.0,428.0,427.0,NaN
34.0,24.0,417.0,418.0,NaN
24.0,14.0,NaN,NaN,NaN
