# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-03-05T10:40
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
126.0,116.0,219.0,1.268,1.24,0.0,0.0
116.0,106.0,273.0,1.276,1.313,0.0,0.0
106.0,96.0,285.5,1.349,1.347,0.0,0.0
96.0,86.0,301.5,1.401,1.403,0.0,0.0
86.0,76.0,333.0,1.428,1.461,0.0,0.0
76.0,66.0,357.0,1.451,1.559,0.0,0.023734371186542855
66.0,56.0,373.0,1.495,1.465,0.0,0.0
56.0,46.0,383.0,1.519,1.561,0.0,0.0
46.0,36.0,377.5,1.557,1.572,0.0,0.0
36.0,26.0,366.0,1.575,1.571,0.017489545060382226,0.0
26.0,16.0,353.5,1.457,1.584,0.0,0.18683420080271432
16.0,6.0,319.5,1.455,1.418,0.0,0.0
