# Location,Fraser
# Site,JPL #1
# PitID,COFEJ1
# Date/Local Time,2019-10-24T12:43
# UTM Zone,13N
# Easting (m),424539
# Northing (m),4417649
# Latitude (deg),39.90557
# Longitude (deg),-105.88281
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),23
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,"Clear to BKN from SW, light wind, "
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Deadfall
# Vegetation Depth,5
# Tree Canopy,No Trees
# Comments:,"Soil moisture: Delta-T, ProbeA: 2.2%, 2.9%, 4.4%         Snow density
taken with 250 cc sampler"
