# Location,Mammoth Lakes
# Site,CUES Study Plot
# PitID,CAMLCP
# Date/Local Time,2020-02-12T10:15
# UTM Zone,11N
# Easting,320985
# Northing,4168170
# Latitude,37.64325
# Longitude,-119.02906
# Depth (cm),Temperature (deg C)
78.0,-4.8
70.0,-8.9
60.0,-8.0
50.0,-6.3
40.0,-4.9
30.0,-3.7
20.0,-2.9
10.0,-2.2
0.0,-1.5
