# Location,Mammoth Lakes
# Site,CUES Study Plot
# PitID,CAMLCP
# Date/Local Time,2020-02-12T10:15
# UTM Zone,11N
# Easting (m),320985
# Northing (m),4168170
# Latitude (deg),37.64325
# Longitude (deg),-119.02906
# Slope (deg),3
# Aspect (deg),330
# Air Temp (deg C),0
# Total Depth (cm),78
# Surveyors,"N. Bair, J. Feinberg"
# WISe Serial No,nan
# Weather,"clear, sunny, light wind"
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,CO2= 393ppm density cutter tare = 751g
