# Location,NW
# Site,FN
# PitID,1
# Date/Local Time,2020-01-22T12:45
# UTM Zone,13N
# Easting (m),452757
# Northing (m),452757
# Latitude (deg),4.09605
# Longitude (deg),-105.42564
# Slope (deg),7
# Aspect (deg),N
# Air Temp (deg C),-7.5
# Total Depth (cm),73
# Surveyors,"EH, MR"
# Weather,nan
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Strong
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Shrub
# Vegetation Depth,10
# Tree Canopy,Open (20-70%)
# Comments:,nan
