# Location,Fraser
# Site,JPL #1
# PitID,COFEJ1
# Date/Local Time,2019-12-30T11:15
# UTM Zone,13N
# Easting (m),424539
# Northing (m),4417649
# Latitude (deg),39.90557
# Longitude (deg),-105.88281
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),62
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,"Clear, calm, cold"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,No Trees
# Comments:,Ground too hard for soil moisture sample
