# Location,NW
# Site,FN
# PitID,4
# Date/Local Time,2020-05-13T10:48
# UTM Zone,13N
# Easting,452731
# Northing,4431645
# Latitude,40.0337
# Longitude,-105.55403
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
113.0,103.0,344.0,344.0,NaN
103.0,93.0,499.0,415.0,354.0
93.0,83.0,350.0,398.0,410.0
83.0,73.0,388.0,425.0,368.0
73.0,63.0,394.0,403.0,NaN
63.0,53.0,406.0,402.0,NaN
53.0,43.0,344.0,363.0,NaN
43.0,33.0,336.0,344.0,NaN
33.0,23.0,366.0,366.0,NaN
23.0,13.0,320.0,371.0,387.0
