# Location,NW
# Site,FN
# PitID,4
# Date/Local Time,2020-05-13T10:48
# UTM Zone,13N
# Easting (m),452731
# Northing (m),4431645
# Latitude (deg),40.0337
# Longitude (deg),-105.55403
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),0
# Total Depth (cm),113
# Surveyors,"ER, AK"
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Shrub
# Vegetation Depth,10
# Tree Canopy,Closed (>70%)
# Comments:,nan
