# Location,NW
# Site,OF
# PitID,1
# Date/Local Time,2020-01-22T11:40
# UTM Zone,13N
# Easting,452872
# Northing,4431903
# Latitude,40.03604
# Longitude,-105.5524
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
28.0,18.0,219.0,176.0,200.0
18.0,8.0,277.0,241.0,NaN
