# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-03-12T11:00
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
133.0,123.0,181.0,1.19,1.168,0.0,0.0
123.0,113.0,258.0,1.266,1.315,0.0,0.0
113.0,103.0,270.5,1.295,1.339,0.0,0.0
103.0,93.0,300.3333333333333,1.418,1.38,0.0,0.0
93.0,83.0,318.5,1.378,1.416,0.0,0.0
83.0,73.0,332.5,1.495,1.526,0.0,0.09080966058808716
73.0,63.0,369.5,1.552,1.531,0.0,0.0
63.0,53.0,379.5,1.598,1.564,0.0013905213246201888,0.0
53.0,43.0,384.0,1.561,1.578,0.0,0.0
43.0,33.0,374.0,1.57,1.614,0.0,0.13919442245857558
33.0,23.0,363.5,1.534,1.535,0.0,0.0
23.0,13.0,339.5,1.573,1.6,0.2656280517799951,0.4045367420295936
13.0,3.0,NaN,1.447,1.461,NaN,NaN
