# Location,Mammoth Lakes
# Site,Panorama Dome
# PitID,CAMLPD
# Date/Local Time,2020-01-29T10:30
# UTM Zone,11N
# Easting,323468
# Northing,4165496
# Latitude,37.61964
# Longitude,-119.00028
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
107.0,97.0,349.0,401.0,NaN
97.0,87.0,359.0,388.0,NaN
87.0,77.0,384.0,405.0,NaN
77.0,67.0,438.0,425.0,NaN
67.0,57.0,421.0,435.0,NaN
57.0,47.0,412.0,414.0,NaN
47.0,37.0,413.0,424.0,NaN
37.0,27.0,435.0,426.0,NaN
27.0,17.0,416.0,429.0,NaN
17.0,7.0,427.0,NaN,NaN
7.0,0.0,NaN,NaN,NaN
