# Location,Niwot Ridge
# Site,C1
# PitID,CONWC1
# Date/Local Time,2019-12-18T09:15
# UTM Zone,13N
# Easting (m),453402
# Northing (m),4431582
# Latitude (deg),40.03317
# Longitude (deg),-105.54616
# Slope (deg),0
# Aspect (deg),90
# Air Temp (deg C),3
# Total Depth (cm),48.5
# Surveyors,"K. Hale, S. Ciafone, T. Lampard"
# WISe Serial No,nan
# Weather,"clear, calm, relatively warm (0 C) IB: interval board initially placed today"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,first day placing storm boards
