# Location,CB
# Site,O6
# PitID,1
# Date/Local Time,2020-02-26T14:28
# UTM Zone,13N
# Easting (m),328382
# Northing (m),4310493
# Latitude (deg),38.92658
# Longitude (deg),-106.97979
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),-4.6
# Total Depth (cm),134
# Surveyors,HB
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,15
# Tree Canopy,No Trees
# Comments:,nan
