# Location,CB
# Site,O6
# PitID,1
# Date/Local Time,2020-02-26T14:28
# UTM Zone,13N
# Easting,328382
# Northing,4310493
# Latitude,38.92658
# Longitude,-106.97979
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
134.0,124.0,146.0,144.0,NaN
124.0,114.0,212.0,227.0,NaN
114.0,104.0,247.0,222.0,NaN
104.0,94.0,281.0,259.0,NaN
94.0,84.0,266.0,279.0,NaN
84.0,74.0,317.0,282.0,265.0
74.0,64.0,329.0,331.0,NaN
64.0,54.0,302.0,297.0,NaN
54.0,44.0,314.0,344.0,NaN
44.0,34.0,323.0,312.0,NaN
34.0,24.0,352.0,338.0,NaN
24.0,14.0,340.0,343.0,NaN
