# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-02-20T13:50
# UTM Zone,12N
# Easting (m),446048
# Northing (m),4493579
# Latitude (deg),40.59125
# Longitude (deg),-111.63759
# Slope (deg),0
# Aspect (deg),0
# Air Temp (deg C),1.2
# Total Depth (cm),284
# Surveyors,"M. Olson, J. Meyer"
# WISe Serial No,nan
# Weather,"Clear sky, light wind, sunny, and warm temperatures"
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,Surface a bit wet
