# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-02-20T13:50
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
# Depth (cm),Temperature (deg C)
284.0,0.0
280.0,-0.2
270.0,-6.0
260.0,-7.1
250.0,-4.5
240.0,-4.4
230.0,-4.2
220.0,-4.0
210.0,-3.9
200.0,-3.7
190.0,-3.5
180.0,-3.3
170.0,-3.0
160.0,-2.9
150.0,-2.6
140.0,-2.4
130.0,-2.2
120.0,-2.0
110.0,-1.8
100.0,-1.6
90.0,-1.5
80.0,-1.3
70.0,-1.1
60.0,-1.0
50.0,-0.8
40.0,-0.6
30.0,-0.5
20.0,-0.3
10.0,-0.2
