# Location,Fraser
# Site,JPL #1
# PitID,COFEJ1
# Date/Local Time,2020-02-26T12:08
# UTM Zone,13N
# Easting (m),424539
# Northing (m),4417649
# Latitude (deg),39.90557
# Longitude (deg),-105.88281
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-9
# Total Depth (cm),111
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,15
# Tree Canopy,No Trees
# Comments:,"Soil moisture Delta-T Unit A: 25.6%, 26.2%, 25.6%"
