# Location,Fraser
# Site,SNB #2
# PitID,COFEB2
# Date/Local Time,2020-02-26T14:40
# UTM Zone,13N
# Easting (m),424863
# Northing (m),4417808
# Latitude (deg),39.90703
# Longitude (deg),-105.87904
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-7
# Total Depth (cm),97
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,nan
# Precip,None
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Deadfall
# Vegetation Depth,15
# Tree Canopy,Open (20-70%)
# Comments:,nan
