# Location,CB
# Site,O4
# PitID,1
# Date/Local Time,2020-02-01T10:00
# UTM Zone,13N
# Easting,328432
# Northing,4310463
# Latitude,38.92632
# Longitude,-106.97921
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
110.0,100.0,224.0,202.0,NaN
100.0,90.0,266.0,262.0,NaN
90.0,80.0,313.0,277.0,272.0
80.0,70.0,305.0,308.0,NaN
70.0,60.0,374.0,330.0,343.0
60.0,50.0,349.0,345.0,NaN
50.0,40.0,342.0,361.0,NaN
40.0,30.0,366.0,361.0,NaN
30.0,20.0,361.0,401.0,405.0
20.0,10.0,339.0,366.0,NaN
10.0,0.0,365.0,355.0,NaN
