# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-02-19T09:30
# UTM Zone,12N
# Easting (m),756903
# Northing (m),4324357
# Latitude (deg),39.03053
# Longitude (deg),-108.03217
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-7
# Total Depth (cm),113
# Surveyors,C. Green
# WISe Serial No,WIS009A
# Weather,IB: The interval board had such little snow that the SWE fell within the margin of error.
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,11
# Tree Canopy,No Trees
# Comments:,nan
