# Location,Cameron Pass
# Site,Joe Wright
# PitID,COCPJW
# Date/Local Time,2020-02-19T10:04
# UTM Zone,13N
# Easting (m),424321
# Northing (m),4486308
# Latitude (deg),40.52405
# Longitude (deg),-105.89345
# Slope (deg),3
# Aspect (deg),45
# Air Temp (deg C),-7.9
# Total Depth (cm),154
# Surveyors,"C. Duncan, C. Kane"
# WISe Serial No,nan
# Weather,"Overcast @ 11:00 MST, with very light snow up to 0.5cm/hr; IB: HN was greater than height of SWE tube, summed two samples for SWE measurement."
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,5
# Tree Canopy,No Trees
# Comments:,Small density cutter used for measurements from 74cm to ground.
