# Location,Niwot Ridge
# Site,C1
# PitID,CONWC1
# Date/Local Time,2020-01-22T11:45
# UTM Zone,13N
# Easting (m),453402
# Northing (m),4431582
# Latitude (deg),40.03317
# Longitude (deg),-105.54616
# Slope (deg),0
# Aspect (deg),90
# Air Temp (deg C),-4.5
# Total Depth (cm),56
# Surveyors,"K. Hale, S. Ciafone, T. Lampard"
# WISe Serial No,nan
# Weather,"Some blowing snow, precip = snow;  IB: no SWE tube yet, measured with density cutter"
# Precip,Very Light
# Sky,Broken (> 1/2 of sky)
# Wind,Strong
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,nan
