# Location,CB
# Site,O4
# PitID,3
# Date/Local Time,2020-02-26T14:25
# UTM Zone,13N
# Easting,328429
# Northing,4310464
# Latitude,38.92633
# Longitude,-106.97924
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
129.0,119.0,124.0,140.0,NaN
119.0,109.0,206.0,212.0,NaN
109.0,99.0,238.0,223.0,NaN
99.0,89.0,269.0,281.0,NaN
89.0,79.0,291.0,289.0,NaN
79.0,69.0,335.0,308.0,NaN
69.0,59.0,338.0,318.0,NaN
59.0,49.0,320.0,327.0,NaN
49.0,39.0,343.0,340.0,NaN
39.0,29.0,339.0,318.0,NaN
29.0,19.0,342.0,338.0,NaN
19.0,9.0,318.0,324.0,NaN
