# Location,CB
# Site,F13
# PitID,1
# Date/Local Time,2020-04-28T12:30
# UTM Zone,13N
# Easting,328567
# Northing,4310799
# Latitude,38.92938
# Longitude,-106.97774
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
95.0,90.0,320.0,387.0,356.0
90.0,80.0,400.0,368.0,388.0
80.0,70.0,411.0,396.0,NaN
70.0,60.0,399.0,386.0,NaN
60.0,50.0,378.0,366.0,NaN
50.0,40.0,358.0,340.0,NaN
40.0,30.0,372.0,394.0,NaN
30.0,20.0,359.0,350.0,NaN
20.0,10.0,371.0,392.0,NaN
10.0,0.0,350.0,363.0,NaN
