# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-02-13T12:30
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
128.0,118.0,146.5,1.14,1.134,0.0,0.0
118.0,108.0,152.0,1.14,1.146,0.0,0.0
108.0,98.0,207.0,1.215,1.249,0.0,0.0
98.0,88.0,239.5,1.295,1.29,0.0,0.0
88.0,78.0,253.5,1.273,1.302,0.0,0.0
78.0,68.0,298.0,1.332,1.312,0.0,0.0
68.0,58.0,329.0,1.405,1.398,0.0,0.0
58.0,48.0,346.5,1.449,1.438,0.0,0.0
48.0,38.0,346.5,1.496,1.488,0.0,0.0
38.0,28.0,344.5,1.464,1.496,0.0,0.0
28.0,18.0,332.5,1.506,1.49,0.0,0.0
18.0,8.0,318.5,1.467,1.518,0.0,0.18201601866856026
8.0,1.0,NaN,1.493,1.503,NaN,NaN
