# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-02-13T12:30
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
128.0,118.0,150.0,143.0,NaN
118.0,108.0,148.0,156.0,NaN
108.0,98.0,209.0,205.0,NaN
98.0,88.0,236.0,243.0,NaN
88.0,78.0,251.0,256.0,NaN
78.0,68.0,304.0,292.0,NaN
68.0,58.0,330.0,328.0,NaN
58.0,48.0,344.0,349.0,NaN
48.0,38.0,337.0,356.0,NaN
38.0,28.0,343.0,346.0,NaN
28.0,18.0,330.0,335.0,NaN
18.0,8.0,328.0,309.0,NaN
8.0,1.0,NaN,NaN,NaN
