# Location,Fraser
# Site,SNB #1
# PitID,COFEB1
# Date/Local Time,2020-02-05T13:00
# UTM Zone,13N
# Easting (m),424968
# Northing (m),4417802
# Latitude (deg),39.90698
# Longitude (deg),-105.87781
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-14
# Total Depth (cm),99
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,precip = snow
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,18
# Tree Canopy,No Trees
# Comments:,Difficulty sampling below 19cm
