# Location,NW
# Site,FF
# PitID,3
# Date/Local Time,2020-03-11T09:50
# UTM Zone,13N
# Easting,453313
# Northing,4431444
# Latitude,40.03193
# Longitude,-105.5472
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
69.0,67.0,< 1 mm,NaN,NaN,NaN,Fresh dusty snow
67.0,65.0,2-4 mm,NaN,NaN,NaN,ice lense
65.0,42.0,2-4 mm,NaN,NaN,NaN,small facets
42.0,17.0,2-4 mm,NaN,NaN,NaN,increasingly large facets
17.0,0.0,> 6 mm,NaN,NaN,NaN,depth hoar
