# Location,NW
# Site,FF
# PitID,3
# Date/Local Time,2020-03-11T09:50
# UTM Zone,13N
# Easting (m),453313
# Northing (m),4431444
# Latitude (deg),40.03193
# Longitude (deg),-105.5472
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-1
# Total Depth (cm),69
# Surveyors,"AM, ES"
# Weather,Gusty
# Precip,None
# Sky,Clear
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Deadfall
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,nan
