# Location,CB
# Site,O4
# PitID,1
# Date/Local Time,2020-02-26T12:30
# UTM Zone,13N
# Easting,328426
# Northing,4310481
# Latitude,38.92648
# Longitude,-106.97928
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
123.0,113.0,123.0,122.0,NaN
113.0,103.0,222.0,216.0,NaN
103.0,93.0,237.0,246.0,NaN
93.0,83.0,269.0,272.0,NaN
83.0,73.0,256.0,274.0,NaN
73.0,63.0,284.0,269.0,NaN
63.0,53.0,287.0,286.0,NaN
53.0,43.0,273.0,265.0,NaN
43.0,33.0,297.0,309.0,NaN
33.0,23.0,323.0,315.0,NaN
23.0,13.0,317.0,313.0,NaN
